Post URL,Post Publish Date,Engagements,,Post URL,Post Publish Date,Impressions
https://www.linkedin.com/posts/richardbuettner_janis-zech-share-7473691113296474112-nHvk,6/19/2026,22,,https://www.linkedin.com/posts/richardbuettner_b2bsaas-gotomarket-revenueoperations-share-7430202667907428352-Zlch,2/26/2026,7132
https://www.linkedin.com/posts/richardbuettner_b2bsaas-gotomarket-revenueoperations-share-7430202667907428352-Zlch,2/26/2026,20,,https://www.linkedin.com/posts/richardbuettner_giulio-segantini-share-7467485236763934723-Ny0W,6/2/2026,3804
https://www.linkedin.com/posts/richardbuettner_the-multi-channel-content-ai-agent-inbound-share-7374906353393266688-0hV9,9/22/2025,12,,https://www.linkedin.com/posts/richardbuettner_giulio-segantini-share-7468210033944764417-9QAP,6/4/2026,754
https://www.linkedin.com/posts/richardbuettner_b2bsaas-fractionalcmo-gtm-share-7428007177895784449-WMrD,2/18/2026,11,,https://www.linkedin.com/posts/richardbuettner_janis-zech-share-7473691113296474112-nHvk,6/19/2026,717
https://www.linkedin.com/posts/richardbuettner_der-cmo-von-heute-ist-kein-marketingchef-ugcPost-7401353663883124736-0nNi,12/3/2025,11,,https://www.linkedin.com/posts/richardbuettner_b2bsaas-fractionalcmo-gtm-share-7428007177895784449-WMrD,2/18/2026,415
https://www.linkedin.com/posts/richardbuettner_isnt-vibe-coding-the-greatest-thing-since-ugcPost-7371186441080668163-Btvx,9/10/2025,9,,https://www.linkedin.com/posts/richardbuettner_matteo-fois-job-postings-arent-just-hiring-share-7466035706789023745-_ecE,5/29/2026,369
https://www.linkedin.com/posts/richardbuettner_jolly-marketer-share-7483067895841886209-O9b7,7/15/2026,9,,https://www.linkedin.com/posts/richardbuettner_giulio-segantini-share-7470429644152844288-C458,6/10/2026,367
https://www.linkedin.com/posts/richardbuettner_giulio-segantini-share-7467485236763934723-Ny0W,6/2/2026,8,,https://www.linkedin.com/posts/richardbuettner_great-post-by-richard-in-german-ugcPost-7401279148624613376-rUMA,12/1/2025,347
https://www.linkedin.com/posts/richardbuettner_renting-out-my-beautiful-apartment-in-berlin-share-7373281206458724352-QLKQ,9/15/2025,8,,https://www.linkedin.com/posts/richardbuettner_how-fast-that-wentai-search-surpasses-share-7383761197558284288-NPYc,10/14/2025,304
https://www.linkedin.com/posts/richardbuettner_sangram-vajre-took-me-4-years-to-figure-share-7441587259210027009-HbAP,3/22/2026,8,,https://www.linkedin.com/posts/richardbuettner_der-cmo-von-heute-ist-kein-marketingchef-ugcPost-7401353663883124736-0nNi,12/3/2025,302
https://www.linkedin.com/posts/richardbuettner_how-fast-that-wentai-search-surpasses-share-7383761197558284288-NPYc,10/14/2025,7,,https://www.linkedin.com/posts/richardbuettner_renting-out-my-beautiful-apartment-in-berlin-share-7373281206458724352-QLKQ,9/15/2025,225
https://www.linkedin.com/posts/richardbuettner_hypothese-2026-wird-cold-email-nicht-immer-share-7426752740254720001-p7jx,2/13/2026,7,,https://www.linkedin.com/posts/richardbuettner_janis-zech-i-dont-think-ai-will-replace-share-7442878545422385152-PiY9,3/26/2026,223
https://www.linkedin.com/posts/richardbuettner_jeff-ignacio-one-ai-dev-tools-company-recently-share-7450091838977306624-z-iW,4/15/2026,7,,https://www.linkedin.com/posts/richardbuettner_hypothese-2026-wird-cold-email-nicht-immer-share-7426752740254720001-p7jx,2/13/2026,214
https://www.linkedin.com/posts/richardbuettner_leore-spira-revopsconfessions-hot-take-share-7445399654629851136-CZOb,4/2/2026,7,,https://www.linkedin.com/posts/richardbuettner_ki-veraendert-den-vertrieb-nicht-durch-mehr-ugcPost-7430186586140684288-nEMB,2/19/2026,210
